Rank,Name,City,State,Tuition,Enrollment,Acceptance_Rate
#97,Florida International University,Miami,FL,18964,"44,904",55%
#97,Fordham University,New York,NY,67452,"10,582",59%
#97,Rutgers University--Camden,Camden,NJ,39476,"3,857",66%
#97,Texas Christian University,Fort Worth,TX,63590,"11,049",44%
#97,University of Colorado Boulder,Boulder,CO,44748,"33,384",76%
#102,Auburn University,Auburn,AL,36022,"27,907",46%
#102,Gonzaga University,Spokane,WA,57250,"5,281",82%
#102,Loyola Marymount University,Los Angeles,CA,65367,"7,273",45%
#102,Saint Louis University,St. Louis,MO,57960,"10,436",75%
#102,Temple University,Philadelphia,PA,40144,"21,428",80%
#102,University of Iowa,Iowa City,IA,33710,"22,738",84%
#102,University of Missouri,Columbia,MO,37820,"24,449",78%
#102,University of Tennessee--Knoxville,Knoxville,TN,32956,"30,564",42%
#110,Brigham Young University,Provo,UT,6888,"32,952",68%
#110,Chapman University,Orange,CA,67894,"7,713",65%
#110,The University of Oklahoma,Norman,OK,27467,"23,351",77%
#110,University of Oregon,Eugene,OR,43919,"20,622",88%
#110,University of San Diego,San Diego,CA,62420,"5,851",52%
#110,University of San Francisco,San Francisco,CA,62312,"5,321",62%
#110,The University of Texas--Dallas,Richardson,TX,40164,"21,858",65%
#117,Arizona State University,Tempe,AZ,35167,"65,450",90%
#117,Creighton University,Omaha,NE,50960,"4,647",80%
#117,Elon University,Elon,NC,48723,"6,452",66%
#117,George Mason University,Fairfax,VA,39212,"28,331",87%
#117,Illinois Institute of Technology,Chicago,IL,53398,"3,135",55%
#117,Iowa State University of Science and Technology,Ames,IA,30140,"25,628",89%
#117,San Diego State University,San Diego,CA,22500,"34,637",36%
#117,University of Central Florida,Orlando,FL,24076,"59,649",45%
#117,University of Denver,Denver,CO,63246,"6,619",77%
#117,University of New Hampshire,Durham,NH,40844,"11,365",88%
#127,"California State University, Long Beach",Long Beach,CA,19856,"35,843",46%
#127,University at Albany--SUNY,Albany,NY,31826,"12,666",69%
#127,University of Arizona,Tucson,AZ,39903,"45,025",86%
